Ranking,Nome,Categoria,Lançamento,Pontuação G3D,Pontuação G2D,Preço,Interface,Tdp,Clock GPU (MHz),Clock Memória (MHz),Tamanho Memória
2204,GeForce 9600M GT,Mobile,Apr 2009,163,25,$78.20*,PCIe 2.0 x16,23,500 MHz,500 MHz,512 MB
2205,Radeon HD 8350,Desktop,Nov 2013,163,222,$99.81*,PCIe 2.1 x16,4.4,400 MHz,400 MHz,512 MB
Insufficient data,Intel 3rd Generation IvyBridge HD GT1,Unknown,Mar 2023,161,14,NA,NA,NA,NA,NA,NA
2206,Radeon HD 4300/4500 Serisi,Unknown,Sep 2014,156,347,NA,NA,NA,NA,NA,NA
2209,GeForce G210,Unknown,Jul 2009,153,37,$122.12*,NA,NA,NA,NA,NA
2207,Intel G41 Express Chipset,Unknown,Apr 2009,153,12,NA,NA,NA,NA,NA,NA
2208,Radeon HD 7340,Unknown,Jun 2012,153,50,$552.69*,NA,NA,NA,NA,NA
2212,GeForce 305M,Mobile,Mar 2012,151,149,NA,PCIe 2.0 x16,14,525 MHz,525 MHz,512 MB
2211,GeForce GT 120M,Mobile,Jul 2009,151,32,NA,PCIe 2.0 x16,23,500 MHz,500 MHz,1024 MB
2210,Radeon X1950 CrossFire Edition,Desktop,May 2009,151,466,NA,PCI-E x16,NA,650 MHz,650 MHz,512 MB
2215,Mobility Radeon HD 4570,Mobile,Dec 2011,150,19,$75.90*,PCIe x16 2.0,NA,680 MHz,680 MHz,512 MB
2213,Radeon HD 3650 AGP,Unknown,Nov 2011,150,155,$185.00*,NA,NA,NA,NA,NA
2214,Radeon R5 220,Desktop,Feb 2015,150,111,$85.26*,PCIe 2.0 x16,19,650 MHz,650 MHz,1024 MB
2216,Quadro FX 3450,Workstation,Aug 2009,149,235,$119.99*,PCIe x16,83,425 MHz,425 MHz,256 MB
2219,GeForce Go 7700,Mobile,Apr 2009,148,232,NA,PCIe x16,NA,450 MHz,450 MHz,512 MB
2218,Mobility Radeon HD 4350,Unknown,Mar 2011,148,369,NA,NA,NA,NA,NA,NA
2217,Quadro 400,Workstation,Jul 2011,148,59,$211.00*,PCIe 2.0 x16,32,450 MHz,450 MHz,512 MB
2222,GeForce 9400,Unknown,Apr 2009,147,50,NA,NA,NA,NA,NA,NA
2220,Radeon HD 6320,Mobile,Nov 2011,147,43,$554.99*,UNB/MC,45,600 MHz,NA,NA
2221,ZX Chrome 645/640 GPU,Unknown,Mar 2017,147,220,NA,NA,NA,NA,NA,NA
2223,Intel G45/G43 Express Chipset,Desktop,Apr 2009,146,17,NA,PCIe 1x16,24,1333 MHz,1333 MHz,0 MB
2226,Quadro NVS 160M,Workstation,Apr 2009,146,24,NA,PCIe 2.0 x16,12,580 MHz,580 MHz,256 MB
2225,Radeon X1900 GT,Desktop,Jul 2009,146,409,NA,PCI-E x16,75,575 MHz,575 MHz,256 MB
2224,S3 5400EW,Unknown,Jul 2021,146,9,NA,NA,NA,NA,NA,NA
2227,Quadro FX 380 LP,Workstation,Feb 2010,145,69,NA,PCIe 2.0 x16,28,589 MHz,589 MHz,512 MB
2228,GeForce 310,Desktop,Jan 2010,144,40,$108.35*,PCIe 2.0 x16,30.5,589 MHz,589 MHz,512 MB
2230,GeForce 505,Unknown,Aug 2013,144,62,$115.06*,NA,NA,NA,NA,NA
2231,GeForce 9200M GE,Mobile,Apr 2009,144,61,NA,NA,NA,NA,NA,NA
2229,Radeon HD 6300M,Mobile,Jun 2012,144,107,NA,NA,NA,NA,NA,NA
2232,GeForce 6600 GT,Desktop,Jul 2010,143,53,$64.95*,"AGP 8x,PCI-E x16",NA,500 MHz,500 MHz,256 MB
2234,FirePro 2270,Workstation,Aug 2012,142,173,$134.00*,"PCIe 2.1 x1,x16",17,600 MHz,600 MHz,1024 MB
2235,GeForce 6800 GT,Desktop,Apr 2009,142,212,NA,"AGP 8x,PCI-E x16",NA,350 MHz,350 MHz,256 MB
2233,GeForce 9300M GS,Mobile,Apr 2009,142,22,$43.42*,PCIe 2.0 x16,13,550 MHz,550 MHz,256 MB
Insufficient data,EG PARK,Unknown,Mar 2021,141,7,NA,NA,NA,NA,NA,NA
2236,GeForce 8600 GT,Desktop,Aug 2012,141,39,$196.00*,"PCIe 1.0 x16,PCI",47,540 MHz,540 MHz,1024 MB
2238,Radeon HD 4290,Desktop,Mar 2010,141,442,NA,HT 3.0,NA,700 MHz,700 MHz,512 MB
2237,RADEON HD 6350,Desktop,Apr 2011,141,171,$59.00*,PCIe 2.1 x16,19.1,650 MHz,650 MHz,512 MB
2239,Radeon X1800 GTO,Desktop,Jul 2009,141,415,NA,PCI-E x16,48,500 MHz,500 MHz,512 MB
2242,GeForce 210,Desktop,Oct 2009,140,30,$54.15*,"PCIe 2.0 x16,PCIe x1,PCI",30.5,"520,589 MHz","520,589 MHz",1024 MB
2243,Mobility Radeon HD 3650,Mobile,Apr 2009,140,31,$73.53*,PCIe x16 2.0,NA,500 MHz,500 MHz,1024 MB
2241,nForce 760i SLI,Unknown,Apr 2009,140,379,NA,NA,NA,NA,NA,NA
2240,Radeon HD 6290M,Mobile,Jul 2012,140,92,NA,NA,NA,NA,NA,NA
2245,GeForce 6800 Ultra,Desktop,Apr 2009,139,153,NA,"AGP 8x,PCI-E x16",NA,400 MHz,400 MHz,512 MB
2244,Intel Haswell HD - GT2,Unknown,Feb 2014,139,630,NA,NA,NA,NA,NA,NA
2247,GeForce Go 6800 Ultra,Mobile,Apr 2009,138,198,NA,PCI-E x16,NA,450 MHz,450 MHz,256 MB
2246,Intel B43 Express Chipset,Unknown,Dec 2009,138,69,NA,NA,NA,NA,NA,NA
2248,GeForce 9650M GT,Mobile,Apr 2009,137,57,$117.30*,PCIe 2.0 x16,23,550 MHz,550 MHz,1024 MB
2251,NVS 2100M,Workstation,Feb 2010,137,116,NA,PCIe 2.0 x16,14,535 MHz,535 MHz,512 MB
2249,Quadro NVS 420,Unknown,Jun 2009,137,103,$150.00*,NA,NA,NA,NA,NA
2250,Radeon X1900 CrossFire Edition,Desktop,Mar 2011,137,507,NA,PCI-E x16,100,625 MHz,625 MHz,512 MB
2253,GeForce G200,Unknown,Feb 2010,136,82,NA,NA,NA,NA,NA,NA
2252,Radeon HD 5450,Desktop,Aug 2012,136,140,$67.67*,PCIe 2.1 x16,19.1,650 MHz,650 MHz,2048 MB
2254,Mobility Radeon HD 4330,Mobile,Aug 2009,135,377,NA,PCIe x16 2.0,NA,450 MHz,450 MHz,512 MB
2255,Mobility Radeon X1900,Mobile,Feb 2010,135,287,NA,PCIe x16,NA,400 MHz,400 MHz,256 MB
2256,Radeon HD 4330,Unknown,Aug 2012,135,26,NA,NA,NA,NA,NA,NA
2257,Radeon HD 8180,Unknown,Oct 2013,135,37,NA,NA,NA,NA,NA,NA
2259,EAH5450,Unknown,Apr 2017,134,216,$109.99*,NA,NA,NA,NA,NA
2260,GeForce 7650 GS,Unknown,Apr 2009,134,335,NA,NA,NA,NA,NA,NA
2258,GeForce 9800 GT 1024MB,Unknown,Jul 2015,134,315,NA,NA,NA,NA,NA,NA
2262,GeForce 9500M GS,Mobile,Apr 2009,133,54,NA,PCIe x16,20,475 MHz,475 MHz,512 MB
2261,GeForce G105M,Mobile,Nov 2009,133,31,NA,NA,NA,NA,NA,NA
2263,VIA/S3G C-645/640 GPU,Unknown,Oct 2019,132,83,NA,NA,NA,NA,NA,NA
2264,GeForce 9600M GS,Mobile,Apr 2009,131,58,NA,PCIe 2.0 x16,20,430 MHz,430 MHz,1024 MB
2265,RTX5000-Ada-1B,Desktop,Feb 2026,131,49,NA,NA,NA,NA,NA,NA
2266,MOBILITY RADEON X1800,Mobile,May 2009,130,247,NA,PCIe x16,NA,450 MHz,450 MHz,256 MB
2267,RADEON X800 SE,Desktop,Apr 2009,130,384,NA,AGP 8x,NA,425 MHz,425 MHz,256 MB
2269,GeForce 9200M GS,Mobile,Apr 2009,129,46,NA,PCIe 2.0 x16,13,550 MHz,550 MHz,256 MB
2270,GeForce 9300 / nForce 730i,Unknown,Apr 2009,129,367,NA,NA,NA,NA,NA,NA
2268,GeForce G210M,Mobile,Sep 2009,129,18,NA,PCIe 2.0 x16,14,625 MHz,625 MHz,512 MB
2271,Qualcomm Adreno 618 GPU,Unknown,Mar 2021,129,64,NA,NA,NA,NA,NA,NA
2273,FireGL V7300,Workstation,Sep 2009,128,322,"$1,189.99*",PCIe,NA,600 MHz,600 MHz,512 MB
2274,GeForce 310M,Mobile,Aug 2012,128,21,NA,PCIe 2.0 x16,14,625 MHz,625 MHz,512 MB
2275,GeForce Go 7600,Mobile,Apr 2009,128,220,NA,PCIe x16,NA,450 MHz,450 MHz,512 MB
2272,Radeon HD 7310,Unknown,Aug 2012,128,44,NA,NA,NA,NA,NA,NA
2276,All-in-Wonder X1900,Unknown,Oct 2009,127,445,NA,NA,NA,NA,NA,NA
2277,GeForce 9300,Unknown,Apr 2009,127,385,$59.00*,NA,NA,NA,NA,NA
2278,Radeon HD 3300,Unknown,Apr 2009,127,373,NA,NA,NA,NA,NA,NA
2279,GeForce 205,Desktop,Nov 2010,126,309,NA,PCIe 2.0 x16,30.5,589 MHz,589 MHz,512 MB
2280,Qualcomm Adreno 540 GPU,Unknown,Mar 2021,126,56,NA,NA,NA,NA,NA,NA
2281,GeForce G205M,Mobile,Sep 2010,125,105,NA,NA,NA,NA,NA,NA
2282,NVS 3100M,Workstation,May 2011,125,33,NA,PCIe 2.0 x16,14,600 MHz,600 MHz,512 MB
2283,Seria Mobility Radeon HD 3400,Unknown,Nov 2013,125,148,NA,NA,NA,NA,NA,NA
2286,GeForce 7300 GT,Desktop,Apr 2009,124,26,$149.99*,"AGP 8x,PCI-E x16",NA,350 MHz,350 MHz,256 MB
2284,GeForce 8700M GT,Mobile,Apr 2009,124,57,NA,PCIe x16,29,625 MHz,625 MHz,256 MB
2285,Quadro FX 1400,Workstation,Oct 2011,124,152,$245.01*,PCIe x16,70,350 MHz,350 MHz,128 MB
2288,Intel Haswell HD - GT1,Unknown,Mar 2014,123,492,NA,NA,NA,NA,NA,NA
2289,Radeon HD 4250,Desktop,May 2012,123,408,NA,HT 3.0,NA,560 MHz,560 MHz,512 MB
2287,Radeon HD 7290M,Mobile,Sep 2014,123,90,NA,NA,NA,NA,NA,NA
2291,GeForce 9500M G,Mobile,Jul 2009,122,172,NA,PCIe 2.0 x16,20,500 MHz,500 MHz,512 MB
2290,Radeon HD 6310,Mobile,Aug 2012,122,35,NA,UNB/MC,45,492 MHz,NA,NA
2292,GeForce 6800 XT,Desktop,Apr 2009,121,103,NA,"AGP 8x,PCI-E x16",NA,325 MHz,325 MHz,256 MB
2293,Quadro FX 380M,Workstation,Mar 2010,121,106,NA,PCIe 2.0 x16,25,625 MHz,625 MHz,512 MB
2294,Radeon HD 2400,Unknown,Jan 2012,121,298,$88.20*,NA,NA,NA,NA,NA
2296,Extreme AX850 PRO,Unknown,Jul 2018,120,218,NA,NA,NA,NA,NA,NA
2295,GeForce 315M,Mobile,Jun 2011,120,34,NA,PCIe 2.0 x16,14,606 MHz,606 MHz,512 MB
Insufficient data,Glenfly Arise1020,Desktop,Oct 2025,119,28,NA,NA,NA,NA,NA,NA
2297,NVS 300,Workstation,Apr 2011,119,38,$62.97*,"PCI-Express x1,x16",17.5,589 MHz,589 MHz,512 MB
2298,Radeon HD 2400 XT,Desktop,Dec 2011,119,357,NA,PCIe 1.0 x16,25,650 MHz,650 MHz,256 MB
2299,RV530 PRO,Unknown,Oct 2009,119,386,NA,NA,NA,NA,NA,NA
2300,GeForce 405,Unknown,Mar 2011,118,52,$24.64*,NA,NA,NA,NA,NA
2301,FireMV 2260,Workstation,Aug 2011,117,488,$88.08*,"PCIe 2.0 x1,x16, PCI",15,NA,NA,256 MB
2303,Mobile Intel 45 Express-Chipsatzfamilie,Unknown,Oct 2011,117,270,NA,NA,NA,NA,NA,NA
2304,PHDGD Quantic C3,Unknown,Nov 2017,117,351,NA,NA,NA,NA,NA,NA
2302,Radeon HD 3470,Desktop,Dec 2011,117,55,$109.65*,PCIe 2.0 x16,30,800 MHz,800 MHz,512 MB
2305,Radeon X1700 Targa Edition,Unknown,Oct 2012,117,255,NA,NA,NA,NA,NA,NA
2306,FireGL V7200,Workstation,Feb 2010,116,348,NA,PCIe x16,NA,600 MHz,600 MHz,256 MB
2307,Radeon X1600 XT,Desktop,Dec 2012,116,356,NA,"AGP 8x,PCI-E x16",42,590 MHz,590 MHz,512 MB
2312,FireGL V5200,Workstation,Sep 2009,115,348,$133.40*,PCIe x16,NA,600 MHz,600 MHz,256 MB
2308,GeForce 8300 GS,Desktop,Apr 2009,115,111,NA,PCIe 2.0 x16,40,450 MHz,450 MHz,512 MB
2309,GeForce 9300 GE,Desktop,Apr 2009,115,34,$22.99*,PCIe 2.0 x16,NA,540 MHz,540 MHz,256 MB
2311,GeForce Go 7800,Mobile,Apr 2009,115,209,NA,PCIe x16,35,400 MHz,400 MHz,256 MB
2310,RADEON X800 GTO,Desktop,Nov 2010,115,162,NA,AGP 8x,NA,400 MHz,400 MHz,256 MB
Insufficient data,VIA/S3 Chrome 520 IGP,Unknown,Aug 2011,115,3,NA,NA,NA,NA,NA,NA
2317,GeForce GT 320M,Mobile,Feb 2010,114,32,NA,PCIe 2.0 x16,14,500 MHz,500 MHz,1024 MB
2316,Intel Q965/Q963 Express,Unknown,Apr 2009,114,26,NA,NA,NA,NA,NA,NA
2314,Quadro FX 560,Workstation,Apr 2009,114,360,$150.25*,PCIe x16,30,350 MHz,350 MHz,128 MB
2315,Quadro NVS 295,Workstation,Apr 2009,114,41,$63.00*,PCI-Express x1/x16,23,550 MHz,550 MHz,256 MB
2313,Radeon HD 2400 Pro,Desktop,Oct 2011,114,346,NA,"PCIe 1.0 x16,AGP,PCI",20,525 MHz,525 MHz,512 MB
2319,FirePro 2260,Unknown,Mar 2010,113,431,NA,NA,NA,NA,NA,NA
2320,GeForce 6800,Desktop,Apr 2009,113,258,$559.29*,"AGP 8x,PCI-E x16",NA,325 MHz,325 MHz,256 MB
2318,Radeon X1950 Pro,Desktop,Sep 2009,113,318,NA,"AGP 8x,PCI-E x16",66,575 MHz,575 MHz,512 MB
2321,Sapphire RADEON X800 GT,Unknown,May 2009,113,274,NA,NA,NA,NA,NA,NA
2322,Intel HD Modded,Unknown,Dec 2014,112,303,NA,NA,NA,NA,NA,NA
2324,Radeon HD 4200,Desktop,Aug 2012,112,372,NA,HT 3.0,NA,500 MHz,500 MHz,512 MB
2323,Radeon HD 7290,Unknown,Dec 2012,112,48,NA,NA,NA,NA,NA,NA
2326,FireGL V7350,Workstation,Sep 2011,111,344,$119.42*,PCIe,NA,600 MHz,600 MHz,1024 MB
2325,Mobility Radeon HD 3400 Serisi,Unknown,Jun 2014,111,239,NA,NA,NA,NA,NA,NA
2329,GeForce 6800 LE,Desktop,Apr 2009,110,166,NA,"AGP 8x,PCI-E x16",NA,325 MHz,325 MHz,128 MB
2327,Radeon HD 2600 Pro AGP,Unknown,Dec 2011,110,137,NA,NA,NA,NA,NA,NA
2328,Radeon HD 4270,Unknown,Nov 2010,110,303,NA,NA,NA,NA,NA,NA
2330,VIA/S3G Chrome 645/640 GPU,Unknown,Mar 2012,110,161,NA,NA,NA,NA,NA,NA
2331,Intel Media Accelerator HD,Unknown,Nov 2011,109,31,NA,NA,NA,NA,NA,NA
2332,ION,Unknown,Jun 2009,109,16,$229.99*,NA,NA,NA,NA,NA
2333,Quadro FX 370 LP,Workstation,May 2012,108,481,NA,PCIe x16,25,540 MHz,540 MHz,256 MB
2334,Radeon Infoshock 3000,Unknown,May 2017,107,475,NA,NA,NA,NA,NA,NA
2336,GeForce Go 6800,Mobile,Apr 2009,106,205,NA,PCI-E x16,NA,300 MHz,300 MHz,128 MB
2337,GeForce9400M,Mobile,Oct 2009,106,161,NA,NA,NA,NA,NA,NA
2335,Radeon X1950 GT,Desktop,Mar 2010,106,279,NA,"AGP 8x,PCI-E x16",57,500 MHz,500 MHz,512 MB
2338,GeForce 8400M G,Mobile,Apr 2009,105,124,NA,PCIe x16,10,400 MHz,400 MHz,128 MB
2339,GeForce 9450,Unknown,Mar 2013,105,342,NA,NA,NA,NA,NA,NA
2340,Mobility Radeon X1700,Mobile,Jul 2010,105,228,NA,PCIe x16,NA,475 MHz,475 MHz,256 MB
2341,Radeon HD 6290,Mobile,Jul 2012,105,32,NA,UNB/MC,45,400 MHz,NA,NA
2344,GeForce 9500M,Mobile,Apr 2009,104,320,$101.20*,NA,NA,NA,NA,NA
2343,M880G with Mobility Radeon HD 4250,Unknown,Oct 2012,104,270,NA,NA,NA,NA,NA,NA
2342,Quadro FX 3400/4400,Workstation,Aug 2012,104,239,NA,PCIe x16,101,350 MHz,350 MHz,256 MB
2345,FireGL V3400,Workstation,Sep 2009,103,353,NA,PCIe x16,NA,500 MHz,500 MHz,128 MB
2347,GeForce 6800 GS/XT,Desktop,Apr 2009,103,196,NA,"AGP 8x,PCI-E x16",NA,325 MHz,325 MHz,256 MB
2346,Quadro FX 370 Low Profile,Unknown,Oct 2010,103,492,NA,NA,NA,NA,NA,NA
2351,GeForce 8300,Unknown,Apr 2009,102,168,$22.68*,NA,NA,NA,NA,NA
2348,GeForce 9300 GS,Desktop,May 2009,102,80,$59.95*,PCIe 2.0 x16,NA,567 MHz,567 MHz,256 MB
2349,Mobility Radeon HD 2400 XT,Mobile,Dec 2011,102,246,NA,PCIe x16,NA,"600,600 MHz","600,600 MHz",256 MB
2350,Quadro FX Go1400,Unknown,Apr 2009,102,223,NA,NA,NA,NA,NA,NA
2354,GeForce 8400M GS,Mobile,Apr 2009,101,25,$78.20*,PCIe x16,11,400 MHz,400 MHz,128 MB
2352,GeForce 9400M,Mobile,Apr 2009,101,55,NA,NA,NA,NA,NA,NA
2355,Matrox G200e WDDM 2.0,Unknown,Jun 2018,101,289,NA,NA,NA,NA,NA,NA
2353,Quadro FX 4000,Workstation,Dec 2009,101,78,NA,AGP 8x,142,375 MHz,375 MHz,256 MB
2356,GeForce G 105M,Mobile,Apr 2009,100,19,NA,PCIe 2.0 x16,14,640 MHz,640 MHz,512 MB
2357,Quadro FX 570M,Workstation,Apr 2009,99,70,NA,PCIe 1.0 x16,45,475 MHz,475 MHz,512 MB
2358,Radeon X1600 Pro,Desktop,Oct 2012,99,273,NA,"AGP 8x,PCI-E x16",41,500 MHz,500 MHz,512 MB
2363,GeForce 9300GE,Unknown,Apr 2009,98,367,$97.20*,NA,NA,NA,NA,NA
2362,ION LE,Unknown,Sep 2009,98,96,NA,NA,NA,NA,NA,NA
2361,Mobility Radeon HD 3430,Mobile,May 2009,98,260,NA,PCIe x16 2.0,NA,450 MHz,450 MHz,256 MB
2359,Mobility Radeon HD 4250,Mobile,Apr 2010,98,280,NA,Internal PCIe x16 1.1,NA,500 MHz,500 MHz,512 MB
2360,Radeon 3000,Unknown,Aug 2012,98,414,$319.00*,NA,NA,NA,NA,NA
2364,RADEON X800 XT,Desktop,Aug 2012,98,271,NA,AGP 8x,NA,500 MHz,500 MHz,256 MB
2366,Intel G35 Express,Unknown,Sep 2010,97,111,NA,NA,NA,NA,NA,NA
2367,Mobility Radeon HD serie 4200,Unknown,Sep 2013,97,227,NA,NA,NA,NA,NA,NA
2365,Quadro NVS 130M,Workstation,Apr 2009,97,190,NA,PCIe 2.0 x16,10,400? MHz,400? MHz,256 MB
2368,Radeon HD 3000,Unknown,Sep 2014,96,264,NA,NA,NA,NA,NA,NA
2369,GeForce 6700 XL,Unknown,Apr 2009,95,243,NA,NA,NA,NA,NA,NA
2370,MEDION RADEON X740XL,Unknown,Apr 2009,95,228,NA,NA,NA,NA,NA,NA
2372,Mobility Radeon HD 3470 Hybrid X2,Unknown,Jun 2009,94,206,NA,NA,NA,NA,NA,NA
2371,Radeon HD 6250,Mobile,Mar 2012,94,30,NA,UNB/MC,35,400 MHz,NA,NA
2377,FireGL V5100,Workstation,Sep 2009,93,250,$114.96*,PCIe x16,NA,450 MHz,450 MHz,128 MB
2376,M880G with Mobility Radeon HD 4200,Unknown,Oct 2009,93,260,NA,NA,NA,NA,NA,NA
2373,Mobility Radeon HD 3470,Mobile,Apr 2009,93,250,NA,PCIe x16 2.0,NA,680 MHz,680 MHz,256 MB
2375,Mobility Radeon HD 4270,Mobile,Sep 2010,93,282,NA,Internal PCIe x16 1.1,NA,590 MHz,590 MHz,512 MB
2374,Quadro FX 370M,Workstation,Apr 2009,93,334,NA,PCIe 1.0 x16,20,550 MHz,550 MHz,256 MB
2378,Mobility Radeon X1600,Mobile,Apr 2009,92,236,NA,PCIe x16,NA,450 MHz,450 MHz,256 MB
2379,nForce 780a SLI,Unknown,Apr 2009,92,425,NA,NA,NA,NA,NA,NA
2380,RADEON X600XT,Unknown,Dec 2009,92,258,NA,NA,NA,NA,NA,NA
2382,GeForce 7500 LE,Desktop,Aug 2012,91,42,NA,"AGP 8x,PCI-E x16",NA,"263,324 MHz","263,324 MHz",256 MB
2381,Mobility Radeon HD 3450,Mobile,May 2009,91,247,NA,PCIe x16 2.0,NA,500 MHz,500 MHz,256 MB
2383,Mobility Radeon HD 4200,Mobile,Apr 2011,91,260,NA,Internal PCIe x16 1.1,NA,500 MHz,500 MHz,512 MB
2385,Matrox G200eW3 WDDM 2.0,Unknown,Nov 2017,90,242,NA,NA,NA,NA,NA,NA
2384,Mobility Radeon HD 2400,Mobile,Jan 2010,90,212,NA,PCIe x16,NA,450 MHz,450 MHz,256 MB
2386,GeForce 6610 XL,Unknown,May 2009,89,288,NA,NA,NA,NA,NA,NA
2387,GeForce 8600M GS,Mobile,Apr 2009,89,34,NA,PCIe x16,20,600 MHz,600 MHz,256 MB
2388,Quadro FX 360M,Workstation,Apr 2009,87,308,NA,PCIe 1.0 x16,17,400 MHz,400 MHz,256 MB
2389,GeForce 6600,Desktop,Apr 2009,86,37,$264.00*,"AGP 8x,PCI-E x16",NA,300 MHz,300 MHz,256 MB
2390,Quadro FX 350,Workstation,Apr 2009,86,378,NA,PCIe x16,21,550 MHz,550 MHz,128 MB
2391,FireGL V3200,Workstation,Aug 2009,85,236,NA,PCIe x16,NA,500 MHz,500 MHz,128 MB
2393,GeForce 9300M G,Mobile,May 2009,85,242,NA,PCIe 2.0 x16,13,400 MHz,400 MHz,256 MB
2392,Radeon X1650 Pro,Desktop,Jan 2010,85,241,$160.89*,"AGP 8x,PCI-E x16",44,600 MHz,600 MHz,512 MB
2394,ALL-IN-WONDER X800 GT,Unknown,Oct 2009,84,186,NA,NA,NA,NA,NA,NA
2397,GeForce 999 GTX,Unknown,Jul 2017,84,138,NA,NA,NA,NA,NA,NA
Insufficient data,Horizon Indirect Display Driver,Desktop,Feb 2025,84,331,NA,NA,NA,NA,NA,NA
2398,Quadro FX 370,Workstation,Apr 2009,84,385,$125.00*,PCIe x16,35,360 MHz,360 MHz,256 MB
2395,Radeon X1300 PRO,Unknown,Nov 2009,84,313,NA,NA,NA,NA,NA,NA
2396,RADEON X800 GT,Desktop,Apr 2009,84,423,NA,AGP 8x,NA,475 MHz,475 MHz,256 MB
2399,GeForce 9100M G,Mobile,Apr 2009,83,42,NA,NA,NA,NA,NA,NA
2400,nForce 750a SLI,Unknown,Dec 2009,83,351,NA,NA,NA,NA,NA,NA
2404,GeForce 7300 LE,Desktop,May 2012,82,34,$32.00*,PCI-E x16,NA,350 MHz,350 MHz,128 MB
2402,GeForce 9100,Unknown,Apr 2009,82,345,NA,NA,NA,NA,NA,NA
2407,GeForce 9300 SE,Unknown,Feb 2015,82,344,NA,NA,NA,NA,NA,NA
2406,MOBILITY FireGL V5000,Workstation,Oct 2009,82,223,NA,PCIe x16,NA,350 MHz,350 MHz,128 MB
2405,Mobility Radeon X2500,Mobile,Oct 2009,82,235,NA,PCIe x16,NA,460 MHz,460 MHz,256 MB
2401,Radeon HD 3200,Unknown,Aug 2012,82,227,NA,NA,NA,NA,NA,NA
2403,RADEON X850 XT Platinum Edition,Desktop,Mar 2011,82,261,NA,PCI-E x16,NA,540 MHz,540 MHz,256 MB
2408,GeForce 8400,Unknown,Apr 2009,81,160,$589.99*,NA,NA,NA,NA,NA
2410,Mobility Radeon 4100,Unknown,May 2010,81,265,NA,NA,NA,NA,NA,NA
2412,Quadro FX 540,Workstation,Apr 2009,81,294,$59.99*,PCIe x16,35,300 MHz,300 MHz,128 MB
2409,RADEON X800 XT Platinum Edition,Desktop,Jul 2012,81,170,NA,PCI-E x16,NA,520 MHz,520 MHz,256 MB
2411,RADEON X850 XT,Desktop,Apr 2009,81,326,NA,AGP 8x,NA,520 MHz,520 MHz,256 MB
2413,GeForce 7300 GS,Desktop,Apr 2009,80,41,NA,"AGP 8x,PCI-E x16",NA,550 MHz,550 MHz,256 MB
2414,RADEON X800GT,Unknown,Apr 2009,80,264,NA,NA,NA,NA,NA,NA
2415,GeForce 8100 / nForce 720a,Unknown,Apr 2009,79,308,NA,NA,NA,NA,NA,NA
2416,Quadro NVS 140M,Workstation,Apr 2009,79,46,NA,PCIe 2.0 x16,10,400 MHz,400 MHz,512 MB
2417,Radeon HD 2350,Desktop,Aug 2009,77,262,NA,"PCIe 1.0 x16,AGP",20,525 MHz,525 MHz,256 MB
2420,M860G with Mobility Radeon 4100,Unknown,Nov 2009,76,203,NA,NA,NA,NA,NA,NA
2419,RADEON X700 PRO,Desktop,May 2009,76,302,NA,AGP 8x,NA,425 MHz,425 MHz,256 MB
2418,ZX C-960,Desktop,Oct 2024,76,106,NA,NA,NA,NA,NA,NA
2421,Radeon X1650 GTO,Unknown,Oct 2009,75,384,NA,NA,NA,NA,NA,NA
2423,FireMV 2450,Unknown,Feb 2011,74,610,NA,NA,NA,NA,NA,NA
2422,GeForce 7350 LE,Unknown,Jun 2009,74,281,NA,NA,NA,NA,NA,NA
2424,Radeon 3100,Unknown,Aug 2012,74,228,$189.15*,NA,NA,NA,NA,NA
2426,Mobility Radeon HD 4300 Serisi,Unknown,Dec 2013,73,216,NA,NA,NA,NA,NA,NA
2428,RADEON X700,Desktop,Mar 2010,73,248,NA,AGP 8x,NA,400 MHz,400 MHz,256 MB
2425,RADEON X800 PRO/GTO,Desktop,Nov 2009,73,181,NA,AGP 8x,NA,400 MHz,400 MHz,256 MB
2427,RADEON X850 PRO,Desktop,Nov 2010,73,157,NA,AGP 8x,NA,507 MHz,507 MHz,256 MB
2429,FireGL V7100,Workstation,May 2009,72,223,$328.67*,PCIe,NA,500 MHz,500 MHz,256 MB
2431,M880G with Mobility Radeon HD 4225,Unknown,Jun 2010,72,183,NA,NA,NA,NA,NA,NA
2430,MEDION RADEON 9800 XXL,Unknown,Nov 2010,72,187,NA,NA,NA,NA,NA,NA
2435,FireGL V3300,Workstation,Apr 2009,71,326,NA,PCIe x16,NA,600 MHz,600 MHz,128 MB
2433,Radeon X1650 SE,Unknown,Apr 2009,71,358,NA,NA,NA,NA,NA,NA
2434,Radeon X550XTX,Unknown,Oct 2009,71,240,NA,NA,NA,NA,NA,NA
2432,RADEON X700 SE,Desktop,Jul 2009,71,348,NA,PCI-E x16,NA,400 MHz,400 MHz,128 MB
2438,BASICDISPLAY,Unknown,Feb 2015,70,691,NA,NA,NA,NA,NA,NA
2437,Diamond X1300-PCIE 256MB,Unknown,Feb 2013,70,286,NA,NA,NA,NA,NA,NA
2436,Quadro NVS 150M,Workstation,Apr 2009,70,168,NA,PCIe 2.0 x16,10,530 MHz,530 MHz,256 MB
2443,FireGL V3350,Workstation,Jul 2009,69,336,NA,PCIe x16,NA,600 MHz,600 MHz,256 MB
2439,GeForce Go 6600,Mobile,Apr 2009,69,209,NA,PCI-E x16,NA,300 MHz,300 MHz,128 MB
