Ranking,Nome,Categoria,Lançamento,Pontuação (Multi),Pontuação (Single),Preço,Socket,Tdp,cpuCounts,Núcleos,Threads,Clock Base (MHz),Clock Turbo (MHz)
496,Intel Xeon E5-2637 v4 @ 3.50GHz,Server,May 2016,"14,018","2,213",$150.20,FCLGA2011-3,135,2,4,2,3500,3700
1300,AMD Ryzen 5 PRO 4655GE,Desktop,Aug 2023,"14,015","2,659",NA,AM4,35,1,6,2,3300,4200
497,Intel Xeon E5-2660 @ 2.20GHz,Server,Apr 2012,"14,007","1,358",$129.90*,LGA2011,95,2,8,2,2200,3000
1301,Mediatek Google Hylia unprovisioned design and sku,Mobile/Embedded,Feb 2026,"14,006","3,916",NA,Unknown,NA,1,8,1,3626,NA
1302,Intel Xeon E-2286G @ 4.00GHz,Server,Oct 2019,"14,003","2,829","$1,253.00*",FCLGA1151-2,95,1,6,2,4000,4900
1303,Hygon C86-4G (OPN:3450M),Unknown,Nov 2025,"13,995","1,904",NA,Unknown,NA,1,8,2,NA,NA
1304,Intel Core i7-10870H @ 2.20GHz,Laptop,Oct 2020,"13,995","2,624",$417.00*,FCBGA1440,45,1,8,2,2200,5000
1305,Intel Core i5-1335U,Laptop,Apr 2023,"13,978","3,276",$340.00*,FCBGA1744,15,1,2,2,1300,4600
1306,Intel Core i3-12100F,Desktop,Jan 2022,"13,974","3,438",$89.98,FCLGA1700,58,1,4,2,3300,4300
1307,Intel Core i9-9980HK @ 2.40GHz,Laptop,May 2019,"13,930","2,507",$583.00*,FCBGA1440,45,1,8,2,2400,5000
1308,Intel Xeon E-2246G @ 3.60GHz,Server,Aug 2019,"13,905","2,730",$311.00*,FCLGA1151-2,80,1,6,2,3600,4800
498,Intel Xeon E5-2665 @ 2.40GHz,Server,Jun 2012,"13,890","1,352","$1,956.00*",LGA2011,115,2,8,2,2400,3100
1309,AMD Ryzen AI 5 330 with Radeon 890M,"Desktop, Laptop",Oct 2025,"13,880","3,864",NA,FP8,NA,1,1,2,2000,4500
1310,AMD Ryzen 5 2600X,Desktop,Apr 2018,"13,868","2,378",$250.00*,AM4,95,1,6,2,3600,4200
1311,AMD Ryzen Embedded V3C18I,Mobile/Embedded,Jul 2023,"13,856","2,491",NA,Unknown,15,1,8,2,1900,3800
1312,AMD BC-250,Unknown,Feb 2025,"13,850","2,187",NA,Unknown,220,1,6,2,1400,3490
1313,Intel Xeon E-2236 @ 3.40GHz,Server,Nov 2019,"13,836","2,790",$452.02*,FCLGA1151-2,80,1,6,2,3400,4800
1314,ARM Oryon 12 Core 3417 MHz,Unknown,Aug 2025,"13,835","2,886",NA,Unknown,NA,1,12,1,3417,NA
1315,Intel Core i5-1240U,Laptop,Nov 2022,"13,832","3,204",NA,FCBGA1744,29,1,2,2,1700,4400
499,Intel Xeon E5-2440 v2 @ 1.90GHz,Server,Oct 2014,"13,818","1,313",$259.90*,LGA 1356,95,2,8,2,1900,2400
1316,AMD Ryzen AI 5 430,Laptop,Dec 2025,"13,807","3,842",NA,Unknown,NA,1,1,2,NA,NA
1317,Intel Xeon E5-2667 v4 @ 3.20GHz,Server,Jul 2016,"13,795","2,184",$579.00,FCLGA2011-3,135,1,8,2,3200,3600
1318,Intel Core i7-1365U,Laptop,Mar 2023,"13,785","3,373",$426.00*,FCBGA1744,15,1,2,2,1800,5200
1319,AMD Ryzen 3 PRO 5350G,Desktop,Jun 2021,"13,781","3,101",NA,AM4,65,1,4,2,4000,4200
500,AMD Opteron 6278,Server,Mar 2013,"13,733","1,007",$153.60*,Unknown,115,4,16,1,2400,2700
1320,Intel Core i3-13100E,Mobile/Embedded,Aug 2023,"13,727","3,399",$137.00*,FCLGA1700,65,1,4,2,3300,4400
1321,Intel Xeon E-2374G @ 3.70GHz,Server,Jan 2022,"13,726","3,398",$339.99*,FCLGA1200,80,1,4,2,3700,5000
1322,Intel Core i3-14100T,Desktop,Jul 2024,"13,725","3,517",$354.45*,FCLGA1700,69,1,4,2,2700,4400
501,Intel Xeon E5-4650 @ 2.70GHz,Server,Jul 2012,"13,713","1,430",$27.98*,LGA2011,130,2,8,2,2700,3300
1323,AMD EPYC 3251,Server,Oct 2019,"13,705","1,820",$315.00*,SP4r2,50,1,8,2,2500,3100
1324,Intel Xeon E5-2673 v3 @ 2.40GHz,Server,Sep 2015,"13,678","1,705",$700.00*,LGA2011-v3,110,1,12,2,2400,3100
1325,Intel Xeon D-1823NT @ 2.80GHz,Server,Feb 2025,"13,673","2,429",$436.00*,FCBGA2227,55,1,6,2,2800,3500
1326,Intel Xeon W-1250 @ 3.30GHz,Server,Aug 2020,"13,666","2,829",$333.48*,FCLGA1200,80,1,6,2,3300,4700
1327,Intel Core i7-5960X @ 3.00GHz,Desktop,Aug 2014,"13,661","2,107",$211.53,LGA2011-v3,140,1,8,2,3000,3500
1328,Intel Xeon E-2176G @ 3.70GHz,Server,Oct 2018,"13,636","2,707",$405.10,FCLGA1151-2,80,1,6,2,3700,4700
1329,Intel Xeon D-1587 @ 1.70GHz,Server,Jul 2016,"13,630","1,394",NA,FCBGA1667,65,1,16,2,1700,2300
1330,Intel Core i3-12100E,Mobile/Embedded,Jul 2023,"13,599","3,312",$285.94*,FCLGA1700,60,1,4,2,3200,4200
1331,Intel Xeon E-2186G @ 3.80GHz,Server,Nov 2018,"13,589","2,712",$429.99*,FCLGA1151-2,95,1,6,2,3800,4700
1332,Intel Xeon Silver 4210 @ 2.20GHz,Server,Aug 2019,"13,575","1,696",$597.45*,FCLGA3647,85,1,10,2,2200,3200
1333,Intel Core i7-8700K @ 3.70GHz,Desktop,Oct 2017,"13,573","2,716",$170.72,FCLGA1151-2,95,1,6,2,3700,4700
1334,AMD Ryzen 3 8300GE,Desktop,Jul 2024,"13,568","3,719",NA,Unknown,35,1,4,2,3500,4900
1335,QTI SM8750P,Mobile/Embedded,Aug 2025,"13,558","2,998",NA,Unknown,NA,1,8,1,4320,NA
1336,Intel Xeon W-1270TE @ 2.00GHz,Server,Oct 2021,"13,553","2,796",$367.00*,FCLGA1200,35,1,8,2,2000,4400
1337,Intel Core i5-10600 @ 3.30GHz,Desktop,Jun 2020,"13,546","2,910",$330.02*,FCLGA1200,65,1,6,2,3300,4800
1338,AMD Ryzen 3 210,"Desktop, Laptop",Apr 2025,"13,528","3,716",NA,FP8,28,1,4,2,3000,4700
1339,AMD Ryzen 9 5900H,Laptop,Jan 2022,"13,510","2,064",NA,AM4,NA,1,8,2,3100,4600
